responseid,startdate,coop1,pass1,coop2,pass2,pass_prob,coop_mexotx,coop_mexoty,coop_meyotx,coop_meyoty,ddt_log_k,study,carit_correct,carit_go_correct,carit_nogo_correct,carit_rt,flanker_correct,flanker_error,flanker_slow,flanker_rt,q_gender,q_age,q_race,q_demrep,q_cash_choice,nfc,risk,trust,edu,income,wvs106_1,wvs108_1,wvs176_1,wvs250_1,bel2,bel2_5,urbanrural,urchild,q_income,q_maternal,q_household,q_neuro,q_anxious,q_exercise,q_sleep_1,q_screen_1,crt,bmi,Strategy
R_3CKhXJWeqKCp1o7,2/2/2022 21:00,21,0,5,0,1,79,4,89,0,-3.782034,Flanker,,,,,,,,,2,53,1,2,2,2,7,6,7,4,3,2,6,10,4,97,5,5,1,4,1,2,3,1,7,12,2,32.27732,SuspiciousTitForTat
R_24ACNqTSNYH4df5,2/3/2022 17:50,73,1,90,1,1,90,8,32,9,-3.649845,Flanker,,,,,0.8574468,0.0952584,0.0472948,842.5983,1,40,1,1,2,2,8,5,7,3,2,2,9,8,4,96,2,2,1,4,3,2,2,3,8,2,3,30.47345,Grim
R_295GQWBeuMsp5y8,2/2/2022 19:31,100,1,100,1,0,100,0,100,0,-0.2682868,Flanker,,,,,0.8919298,0.0785965,0.0294737,826.6158,1,46,1,2,2,3,7,1,5,1,7,3,8,10,4,96,4,3,1,4,4,1,4,1,6,12,2,26.56841,TitForTat
R_2EbeK0IFRDAY0Bd,2/4/2022 14:49,100,1,100,1,1,100,100,100,50,-3.851456,Flanker,,,,,0.8623697,0.092891,0.0447393,831.1039,1,49,1,3,2,3,5,5,6,6,1,1,5,10,3,96,5,5,4,2,2,2,3,6,7,8,3,21.69753,Coop
R_2fILQ2Yt6KqxcVY,2/3/2022 16:22,0,1,0,1,1,0,0,1,0,4.804183,Flanker,,,,,0.8708212,0.0935266,0.0356522,824.6398,2,45,1,1,1,1,6,3,5,5,2,1,4,8,4,98,4,5,1,4,4,2,2,1,6,9,2,33.83325,Defect
R_2XnbwESX2UBCc8k,2/2/2022 20:02,67,1,80,1,1,100,0,5,0,-2.640181,Flanker,,,,,0.8767567,0.0921622,0.0310811,814.3192,2,69,1,1,2,1,2,6,6,6,7,2,10,10,3,98,4,3,1,2,1,2,1,5,7,5,3,22.80493,Grim
R_4ILF5u6Lip53fxv,2/2/2022 21:52,89,1,85,1,1,100,21,19,85,-1.334996,Flanker,,,,,0.8736508,0.0926984,0.0336508,814.3887,1,57,1,6,2,4,9,5,4,4,10,10,10,10,1,2,1,6,1,2,1,2,2,3,6,12,2,32.58416,Other
R_2pQrat9iL7KzRyw,1/31/2022 15:55,20,0,80,0,1,81,83,91,91,-3.273296,Flanker,,,,,,,,,1,46,1,1,2,2,8,4,6,6,2,1,9,10,4,97,2,2,2,4,1,2,2,4,6,8,3,23.33415,Coop
R_2VruqIvbdp6vsKI,1/31/2022 16:20,95,1,96,1,1,100,79,100,37,-3.183488,Flanker,,,,,0.9233333,0.0408333,0.0358333,848.0525,2,56,1,1,2,1,1,4,7,4,1,1,9,10,1,3,4,3,2,4,1,2,2,1,7,8,2,25.68279,FourteenCoop
R_STQp2yoR3mHPpmx,2/3/2022 17:33,50,1,50,1,0,77,50,50,50,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Random
R_2dtmM0ydltMvHJ5,2/4/2022 14:49,0,1,0,1,1,50,0,0,0,-3.649847,Flanker,,,,,0.862,0.0930476,0.0449524,831.5866,1,45,1,4,2,3,4,4,7,7,9,5,6,7,1,1,6,6,2,4,6,2,4,1,6,8,3,36.91451,Defect
R_5yTPTHjBzwDkGYN,2/4/2022 17:07,0,1,0,1,1,0,0,0,0,0.8557188,Flanker,,,,,0.8561674,0.0922908,0.0515418,835.5874,1,37,1,6,2,1,2,2,7,8,10,9,7,10,1,1,4,4,4,2,4,2,1,3,8,9,3,30.12224,Defect
R_1QzHL9dHNH8P3T9,2/3/2022 16:59,28,1,33,1,1,34,43,91,89,-2.930597,Flanker,,,,,0.8646511,0.0953488,0.04,833.2936,2,44,1,5,2,2,6,6,6,6,8,9,6,9,3,96,5,5,4,1,3,2,1,7,7,7,3,28.18891,Random
R_3G7CDhJDSub4Zcj,2/3/2022 16:52,0,1,50,1,0,50,50,50,50,-2.742064,Flanker,,,,,0.8685141,0.0945382,0.0369478,830.1387,1,62,1,3,2,2,7,5,5,3,2,2,9,9,1,98,6,6,4,1,2,1,2,1,8,6,1,26.77632,Random
R_2VPfXekgVJeabpA,2/4/2022 13:57,5,1,0,1,1,0,0,0,0,-1.64514,Flanker,,,,,0.8599505,0.0940099,0.0460396,836.6266,1,60,1,2,2,2,2,3,5,3,2,3,9,10,4,97,4,4,1,1,1,2,3,1,8,10,3,36.91451,Defect
R_1Mk84bkQnfd0Alr,2/3/2022 20:03,100,1,100,1,1,100,60,72,0,2.58483,Flanker,,,,,0.8584334,0.094517,0.0470496,839.1061,1,36,1,1,1,2,7,6,5,5,2,1,6,10,4,97,1,1,1,4,1,2,2,8,7,10,1,19.93384,FourteenCoop
R_1mPZOOYkJe1eKqE,2/2/2022 19:48,0,1,0,1,1,0,0,0,0,1.049036,Flanker,,,,,0.8812698,0.0866667,0.0320635,831.4686,2,40,1,1,2,4,4,3,7,6,1,1,5,10,4,97,6,4,2,4,1,2,4,2,9,7,3,19.73755,Defect
R_3LkmdqhZtKEAyJ2,2/3/2022 17:27,30,1,37,1,1,79,15,15,76,0.2117272,Flanker,,,,,0.8583871,0.0932903,0.0483226,844.6563,2,59,1,2,1,2,4,6,5,3,2,5,4,10,3,96,5,5,1,1,5,2,3,2,6,4,3,32.2666,Other
R_12utpCGDxJzjS9y,2/2/2022 21:43,50,1,50,1,1,0,100,0,100,-0.4161712,Flanker,,,,,0.8731522,0.0930435,0.0338043,815.5604,2,75,1,1,2,4,0,7,7,3,5,1,10,10,4,99,5,6,1,2,1,2,2,1,7,7,1,24.23442,Other
R_cHhtB2vVK1UcYz7,1/31/2022 16:43,100,1,100,1,1,100,100,100,0,-1.823084,Flanker,,,,,0.9171429,0.0514286,0.0314286,829.6469,1,37,1,5,1,5,5,5,7,5,7,9,7,10,1,2,3,2,2,4,8,2,3,3,8,8,0,33.22306,FourteenCoop
R_DIyKSO4faZFF2QF,2/4/2022 19:07,90,1,73,1,1,100,48,33,23,-3.530622,Flanker,,,,,0.855966,0.0935456,0.0504883,831.8604,1,36,1,3,2,2,7,7,6,4,4,2,7,10,1,2,3,3,2,4,4,2,3,3,6,8,3,20.91847,Random
R_3gML8LTTQN0gUbI,2/3/2022 16:35,11,1,59,1,1,47,90,13,47,-2.719495,Flanker,,,,,0.87,0.0943478,0.0356522,828.3615,2,69,1,3,2,1,3,4,7,5,2,3,9,10,1,3,2,6,1,4,1,2,2,1,7,2,2,25.79053,Random
R_1LiDkSGsEsDZwZm,2/2/2022 20:47,0,1,0,1,1,0,0,0,0,-0.9328625,Flanker,,,,,0.8724445,0.0952593,0.0322963,811.1126,7,59,1,4,2,3,7,2,6,1,1,5,1,6,4,97,6,6,2,4,4,2,4,1,8,12,2,23.91156,Defect
R_2Xb4a0J8ExFnb4t,2/2/2022 19:36,100,1,100,1,1,100,97,100,100,-3.914934,Flanker,,,,,0.8933333,0.0776667,0.029,824.5107,2,54,1,4,2,1,2,5,7,7,9,10,9,2,3,98,2,4,4,4,2,2,2,1,7,13,3,27.75971,Coop
R_0fz9MZK6nMEg1jj,2/4/2022 16:07,100,1,50,1,1,50,50,50,50,-2.086321,Flanker,,,,,,,,,1,55,1,1,1,3,5,4,6,5,8,7,5,6,1,1,4,5,1,4,1,2,3,4,8,10,0,34.43265,Random
R_2tD015sFOCOk1vD,2/4/2022 14:54,9,1,63,1,1,88,27,49,0,0.2097456,Flanker,,,,,0.8621378,0.0930166,0.0448456,831.5828,1,65,1,1,2,1,1,2,6,5,1,1,10,10,3,97,2,2,4,1,2,2,3,1,8,10,3,25.5473,Grim
R_3RaytqLxtoUi4aw,2/2/2022 20:07,89,1,87,1,1,88,0,13,12,-2.302638,Flanker,,,,,0.8721839,0.0947126,0.0331034,827.3717,1,66,1,2,2,1,6,6,5,5,5,5,8,10,3,1,4,3,1,4,2,2,3,1,4,4,1,31.11947,Grim
R_1ONvJYPh2bcZH5j,2/3/2022 19:31,59,1,100,1,1,100,0,91,0,-2.072384,Flanker,,,,,0.8575661,0.0948677,0.0475661,840.316,1,40,1,5,2,2,6,5,6,6,7,8,8,10,1,3,5,3,4,4,6,2,4,5,8,9,2,22.42635,TitForTat
R_Ck4XREwj3WryjXX,2/2/2022 21:44,,,,,,,,,,,Flanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1dmE4APKqxisoEf,2/3/2022 18:05,27,1,31,1,1,71,71,71,72,-1.069217,Flanker,,,,,0.8576854,0.0956083,0.0467062,841.064,1,64,1,5,2,3,7,6,7,5,4,2,3,9,1,2,6,6,2,4,2,2,1,7,7,4,1,28.83735,Random
R_yyAHIZXWyan39E5,2/3/2022 17:26,50,1,100,1,1,100,100,100,100,0.7527931,Flanker,,,,,0.8631229,0.0936877,0.0431894,836.1163,2,42,1,3,2,3,7,4,7,4,2,3,9,5,3,98,4,4,2,4,1,2,3,4,7,8,3,25.38949,Coop
R_1psNLBF5VmolGlx,2/4/2022 16:25,100,1,100,0,1,100,85,100,81,-3.939355,Flanker,,,,,0.8556696,0.0922321,0.0520982,838.0206,1,42,1,1,2,2,1,2,5,5,1,1,8,10,4,97,2,2,2,4,5,2,1,6,6,9,2,32.09459,Coop
R_3PFyWN444431MEj,2/3/2022 16:47,74,1,83,1,1,80,68,87,57,-0.9249359,Flanker,,,,,0.8682845,0.0953975,0.036318,829.8383,2,55,"1,2",1,2,3,3,4,5,6,1,1,10,10,4,99,4,5,1,4,1,2,4,2,7,7,2,24.88647,Coop
R_1oGWoZLzCDvMw9T,1/31/2022 17:30,0,1,0,1,1,0,0,0,0,-0.2871092,Flanker,,,,,0.9187234,0.053617,0.0276596,819.9778,2,49,2,2,1,2,2,6,6,5,1,1,8,7,1,1,5,4,2,4,2,2,2,4,8,12,0,23.41306,Defect
R_3k0rtifjPIWP3jn,2/2/2022 20:53,20,1,21,1,1,100,0,71,0,-0.5903694,Flanker,,,,,0.8727941,0.0951471,0.0320588,809.4432,1,58,1,4,2,2,7,6,5,3,7,8,8,9,3,96,6,1,1,4,1,2,1,1,7,4,3,24.40972,SuspiciousTitForTat
R_3KxSP65Sa73cfk1,2/4/2022 17:49,1,1,21,1,1,95,84,16,0,4.006336,Flanker,,,,,0.8564579,0.0927862,0.0507559,833.9697,1,41,1,2,1,4,7,4,5,6,2,2,5,9,1,2,4,4,2,4,4,2,1,4,8,13,0,36.01916,Random
R_2ZEnQyQDHpdzmwy,2/2/2022 21:43,0,1,0,1,1,0,0,0,0,-1.386641,Flanker,,,,,0.8704082,0.0932653,0.0363265,824.817,2,63,2,3,2,4,5,5,4,4,10,1,10,7,1,98,3,2,1,2,2,2,2,1,7,4,1,35.77396,Defect
R_29plGjPW4so7KeC,2/4/2022 14:24,33,0,60,1,1,68,30,19,80,0.1498591,Flanker,,,,,0.8609732,0.0934793,0.0455474,834.1159,1,36,1,2,2,3,5,6,6,7,7,2,8,9,3,6,6,5,4,2,2,2,5,3,6,11,1,21.99609,Random
R_1QfpWHiSDP7RWEN,2/4/2022 21:33,0,1,100,1,1,100,0,0,0,-2.690089,Flanker,,,,,0.8539219,0.0959754,0.0501027,831.0001,1,40,1,4,1,2,6,5,6,6,8,5,9,10,1,2,5,5,2,2,4,2,2,1,7,10,2,28.58857,Grim
R_3I4w4QEo0AcgCnf,1/31/2022 16:45,0,1,0,1,1,100,0,47,0,0.4095112,Flanker,,,,,0.9166667,0.0538095,0.0295238,820.6091,1,50,2,2,1,1,3,4,6,4,3,3,6,9,1,2,6,6,2,2,3,2,2,1,7,10,3,51.80286,StubbornDef
R_3hlqe96PK7NJiIo,2/3/2022 17:18,100,1,92,1,1,93,90,94,90,4.382984,Flanker,,,,,0.8569872,0.0948077,0.0482051,844.7497,1,52,"1,8",1,1,1,7,6,6,6,1,1,9,10,4,99,6,3,2,4,1,1,3,5,7,4,2,25.0568,Coop
R_bIe6Zw7A7iNx6s9,2/4/2022 18:43,8,1,14,1,1,9,58,11,11,-2.452737,Flanker,,,,,0.8556129,0.0934624,0.0509247,833.0253,1,37,2,4,1,3,5,4,6,5,6,8,5,6,3,96,4,4,2,2,1,2,1,1,5,8,0,32.42408,SuckerDef
R_3fpHoYORVc6JLF7,2/4/2022 21:27,79,0,77,1,1,87,25,85,54,-1.758338,Flanker,,,,,0.8536907,0.0960825,0.0502268,831.3066,1,58,1,3,2,4,3,3,4,4,4,4,1,10,1,1,2,2,2,1,4,2,4,1,5,9,0,20.80306,BitterCoopCoop
R_3dEqolVRQbGpidE,2/3/2022 15:32,50,1,84,1,0,86,0,79,50,2.798113,Flanker,,,,,0.8699507,0.0938916,0.0361576,826.4937,1,53,"1,2,10",1,1,2,7,5,5,3,4,2,8,9,3,98,4,4,1,4,1,2,3,1,7,4,3,14.06,TitForTat
R_3MiFrbN6BOMEpr1,2/3/2022 17:20,100,1,100,1,1,100,100,100,100,-3.393508,Flanker,,,,,0.8633775,0.0935099,0.0431126,835.6149,1,57,1,1,2,1,7,6,6,6,1,1,3,10,4,98,2,3,2,4,2,2,2,4,7,4,3,25.84559,Coop
R_1C45NdlqjLJFszr,2/4/2022 21:33,0,1,0,1,1,100,0,0,0,-3.655236,Flanker,,,,,0.8539095,0.0959259,0.0501646,831.3111,1,45,2,3,2,3,7,3,6,4,3,4,9,9,1,2,3,3,2,4,2,2,2,3,7,6,3,22.31303,StubbornDef
R_10JFgotFslRfXCx,2/2/2022 20:11,100,1,100,1,1,49,49,50,50,-3.651883,Flanker,,,,,0.8734118,0.0927059,0.0338824,828.3946,2,54,1,3,2,1,5,4,7,5,6,6,10,10,1,2,6,6,4,4,2,2,2,4,8,8,3,30.78225,Random
R_3EbU60z4Stl0Kuw,2/2/2022 20:49,1,1,0,1,1,61,0,0,0,-0.0214535,Flanker,,,,,0.8742424,0.094697,0.0310606,806.6903,2,49,1,3,2,2,6,4,6,6,4,6,8,7,1,3,5,4,2,2,4,2,2,7,7,6,3,18.59788,StubbornDef
R_WdHluPD4zNwdrIB,2/4/2022 13:38,26,1,17,1,1,17,41,85,88,-0.0486244,Flanker,,,,,0.8598,0.0939,0.0463,836.6045,1,51,2,4,1,2,4,6,6,4,8,3,4,10,1,1,3,2,1,4,1,2,3,4,8,8,3,24.58553,Other
R_DN5BMJdV56FMBbz,2/4/2022 15:04,86,0,99,1,1,100,23,0,19,-2.682023,Flanker,,,,,0.8604684,0.0924122,0.0471194,833.5597,1,62,1,2,2,2,5,6,7,7,3,3,8,9,4,98,4,5,2,4,2,2,1,3,7,3,3,22.23775,Grim
R_1F3ZrLgMlnRA43r,2/2/2022 20:31,92,1,81,1,1,75,75,82,82,-3.141231,Flanker,,,,,0.8714285,0.0971429,0.0314286,817.4461,1,48,9,3,2,2,3,5,6,7,7,6,6,10,3,96,4,4,4,4,3,2,2,2,7,10,3,30.71288,Coop
R_2zHKLQ3FtOEx6qx,1/31/2022 15:55,0,1,0,1,1,0,0,0,0,-1.086347,Flanker,,,,,0.9514286,0.0257143,0.0228571,822.4457,2,49,1,3,1,2,0,2,5,3,1,1,6,6,1,98,3,3,2,1,3,2,5,1,6,9,0,33.65331,Defect
R_1dFEdOBXL2yhvst,2/3/2022 17:31,69,1,79,1,1,98,5,50,8,-0.5418703,Flanker,,,,,0.8585209,0.0932476,0.0482315,844.3127,2,39,1,4,1,3,3,5,5,3,2,8,3,7,1,1,4,2,1,4,4,2,1,1,7,9,2,52.12149,TitForTat
R_V5atezcBk0gB4Jz,2/3/2022 18:15,18,1,77,1,1,100,16,82,5,-1.625684,Flanker,,,,,0.8581662,0.0961605,0.0456734,839.452,2,38,"1,5",2,1,4,2,2,7,7,8,6,7,9,1,2,6,2,4,4,3,2,3,1,7,9,0,33.4445,TitForTat
R_RlDN4hCV9DsSlxL,2/3/2022 16:28,0,0,0,1,1,36,100,0,37,5.981236,Flanker,,,,,0.8701869,0.0929907,0.0368224,828.6458,1,37,"1,5",3,1,2,10,5,5,5,4,1,10,10,4,97,4,6,2,4,4,2,2,3,8,5,2,24.80655,SuckerDef
R_0e07CCqFaQzMN21,2/3/2022 17:31,0,1,50,1,1,100,0,50,50,-3.939355,Flanker,,,,,0.8579935,0.0935275,0.048479,845.1257,1,51,1,4,2,1,1,4,6,6,10,8,10,5,4,97,2,3,2,4,2,2,1,5,7,8,2,23.21786,Random
R_28SXmQTReMcDz8D,1/31/2022 16:13,8,1,3,1,1,11,10,12,12,0.7098939,Flanker,,,,,0.9294737,0.0336842,0.0368421,839.0979,1,75,1,3,1,2,9,6,6,7,7,7,8,9,1,2,4,3,2,2,2,2,2,6,7,5,2,35.18228,Defect
R_z28chl3TnGwTLTr,2/2/2022 20:58,94,1,93,1,1,50,47,76,65,-2.957601,Flanker,,,,,0.8665772,0.0954362,0.0379866,821.457,1,38,1,3,2,3,3,4,4,2,6,3,7,10,4,98,2,1,1,4,2,2,3,3,8,8,0,41.08108,Random
R_2VDOjukdF5UzpO2,2/3/2022 16:46,84,1,76,1,1,74,28,22,20,-2.117232,Flanker,,,,,0.8701299,0.0941126,0.0357576,828.1337,1,40,1,4,1,2,8,4,6,6,6,5,8,7,1,2,2,2,2,4,3,2,3,4,7,8,3,28.36273,Grim
R_0oaROYcQnPfuyzf,2/3/2022 17:08,12,1,24,1,1,12,49,82,62,1.353544,Flanker,,,,,0.8639322,0.0924068,0.043661,837.1268,2,52,1,2,1,3,7,6,5,6,5,3,9,10,4,97,1,3,2,2,1,2,4,1,7,4,0,20.52444,Random
R_1guUxqsyBjAdcAU,2/4/2022 19:13,33,0,96,1,0,100,65,100,16,0.3923435,Flanker,,,,,0.855641,0.0936325,0.0507265,832.515,1,41,1,2,2,2,2,6,7,7,2,2,8,10,3,96,5,5,4,4,4,2,2,1,7,4,2,34.58044,FourteenCoop
R_Ub8l8os9ea6hpHb,1/31/2022 16:07,77,1,75,0,1,100,0,100,0,-2.729087,Flanker,,,,,0.9306667,0.0333333,0.036,822.1547,2,36,"1,2",3,1,2,5,3,6,3,3,3,8,9,3,96,2,2,1,2,1,2,3,6,10,8,3,32.60986,TitForTat
R_1P67Xd6mpe8p67V,2/2/2022 20:30,68,1,82,1,1,93,6,93,88,-2.875403,Flanker,,,,,0.8741818,0.0945455,0.0312727,817.0869,2,51,"2,5,6",4,1,2,1,5,6,2,2,2,3,9,1,3,6,5,1,1,2,2,3,4,6,12,3,31.94698,BitterCoopCoop
R_2dSGjFeWB3wuWwM,2/2/2022 21:36,50,1,50,1,1,50,50,50,50,-3.78638,Flanker,,,,,0.8721143,0.0937143,0.0341714,818.3605,2,49,1,3,2,3,0,5,7,4,1,1,10,10,4,98,4,4,2,4,3,2,1,1,8,12,3,,Random
R_2rpHDhJSaBlWKc1,1/31/2022 15:36,28,1,17,1,1,61,27,28,28,-2.742657,Flanker,,,,,0.955,0.025,0.02,744.495,2,57,1,2,1,4,0,2,5,2,4,3,3,9,3,98,2,1,1,2,1,2,4,1,6,9,3,45.7206,Random
R_1mreti4CCOj22vn,2/2/2022 20:23,5,1,8,1,1,10,0,3,2,-1.53162,Flanker,,,,,0.8731481,0.0951852,0.0316667,819.2697,2,56,1,4,2,1,7,6,6,6,7,8,7,6,1,1,2,3,2,2,2,2,2,1,6,12,2,27.14361,Defect
R_eg4cogQ5FKLi6oF,2/3/2022 18:01,82,1,89,1,1,100,40,79,79,-0.8105579,Flanker,,,,,0.8570659,0.0960479,0.0468862,841.9427,2,57,1,1,2,2,3,5,6,6,4,2,9,10,3,96,1,2,1,2,1,2,2,1,8,6,3,19.56842,BitterCoopCoop
R_1dv12C1R3KMq0B9,1/31/2022 14:56,0,1,0,1,1,0,0,0,0,-2.63708,Flanker,,,,,0.94,0.03,0.03,767.74,2,58,1,4,1,4,3,3,4,4,10,10,10,10,1,3,1,1,2,1,2,2,1,3,9,6,1,23.07828,Defect
R_2ti2CiiU32lmxj5,2/4/2022 18:05,40,1,63,1,1,93,10,57,69,-2.594513,Flanker,,,,,0.8559653,0.0930586,0.0509761,834.3151,1,37,1,3,1,2,4,5,6,6,3,4,4,3,4,97,5,2,2,1,2,2,3,3,6,4,3,21.01948,Random
R_YXskGilv4IWng5j,2/4/2022 14:58,56,1,63,0,1,35,26,27,31,1.97375,Flanker,,,,,0.8599528,0.0926887,0.0473585,834.3738,1,39,1,2,1,2,10,5,6,7,6,7,7,8,1,2,2,2,4,2,4,2,2,2,5,8,2,39.07245,Random
R_AchggoMGZ5IDbl7,1/31/2022 16:39,33,1,93,1,1,100,0,100,0,-0.5404906,Flanker,,,,,0.9167567,0.0524324,0.0308108,831.2281,1,49,1,2,2,3,6,5,6,5,3,2,5,10,3,3,2,2,2,2,4,2,1,4,8,4,3,23.75,TitForTat
R_1mfxyyXl0HFMqpp,2/2/2022 20:18,23,1,0,1,1,71,40,39,40,0.1102818,Flanker,,,,,0.8694118,0.0986274,0.0319608,819.9059,2,54,1,1,2,3,5,5,6,5,1,3,8,10,3,96,6,5,1,4,2,2,4,1,9,3,2,26.30602,Random
R_3oAUc7EEIReMrbj,2/4/2022 14:38,100,1,100,1,1,100,50,100,100,-1.887626,Flanker,,,,,0.8612077,0.09343,0.0453623,833.4839,1,36,1,1,2,1,6,4,7,2,1,1,10,10,4,97,5,4,1,2,4,2,3,2,6,11,3,36.63476,Coop
R_3LiEHp8leIcnB0f,2/2/2022 20:30,83,0,96,1,1,89,50,50,98,0.3275447,Flanker,,,,,,,,,2,54,6,2,2,1,6,5,7,5,2,2,9,10,1,98,3,4,4,4,4,2,3,1,6,5,2,25.91626,Coop
R_3NxhTPkeKAzJuwq,2/3/2022 18:04,100,1,100,1,1,100,23,25,7,3.517204,Flanker,,,,,0.8577381,0.0955952,0.0466667,840.9567,1,39,1,4,1,1,4,6,6,6,9,10,8,10,1,2,3,4,2,4,4,2,2,6,8,8,3,28.37162,Grim
R_1Fttie4JtobCEtb,1/31/2022 16:34,23,1,100,1,1,100,72,21,10,-2.899373,Flanker,,,,,0.92375,0.0425,0.03375,834.655,2,39,1,1,2,2,3,6,5,3,2,1,4,10,3,96,4,6,1,2,2,2,2,1,10,12,3,51.66089,Grim
R_2CIWLObCeisdVtZ,2/3/2022 18:56,100,0,100,1,1,100,70,100,21,-1.106362,Flanker,,,,,0.857035,0.0946092,0.0483558,842.7211,1,41,1,3,2,4,2,6,4,3,2,1,8,9,3,96,3,3,1,4,1,2,1,1,7,14,2,29.53375,FourteenCoop
R_3Jw5woitkBfJHVE,2/2/2022 20:50,98,1,98,1,1,100,22,14,50,-0.8533774,Flanker,,,,,0.8709091,0.0939394,0.0351515,815.9426,2,53,1,5,1,3,2,5,4,5,4,3,8,9,1,1,2,1,4,2,2,2,4,2,6,6,3,31.27633,Grim
R_s4IQewLYFts33cR,2/2/2022 21:03,87,1,95,1,1,100,13,83,21,-2.952098,Flanker,,,,,,,,,2,72,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,TitForTat
R_XHCELd0cL5HS0yl,2/3/2022 18:00,0,1,0,1,1,0,0,0,0,-3.404547,Flanker,,,,,0.8578151,0.0944538,0.0477311,842.0958,2,68,5,6,2,3,0,6,6,5,10,5,10,10,1,2,6,4,4,2,2,2,2,1,7,4,0,27.92472,Defect
R_XvqmczWF3GFG8NP,2/2/2022 21:00,100,1,100,1,0,100,100,100,100,6.878715,Flanker,,,,,0.8682119,0.0943046,0.0374834,819.1799,2,51,1,5,1,3,3,2,5,5,4,9,5,7,3,2,2,1,1,1,3,2,1,7,4,2,3,28.58857,Coop
R_1ifXm239ji90ttN,1/31/2022 16:29,51,1,50,1,1,100,0,0,0,0.1464363,Flanker,,,,,0.922069,0.0427586,0.0351724,838.5566,1,42,1,1,1,1,3,6,7,3,1,1,6,10,4,97,4,1,2,2,1,2,3,6,7,8,3,38.51351,Grim
